ticker,value,date
GOOG,799.71,"2013-02-22 23:00:00.000000"
NFLX,179.86,"2013-02-22 23:00:00.000000"
SIK13.CMX,28.89,"2013-02-22 23:00:00.000000"
MSFT,27.76,"2013-02-22 23:00:00.000000"
ANF,46.86,"2013-02-22 23:00:00.000000"
MSFT130622C00025000,3.35,"2013-02-22 23:00:00.000000"
ANF130518P00048000,4.64,"2013-02-22 23:00:00.000000"
KTK13.NYM,1.587,"2013-02-22 23:00:00.000000"
TSLA,36.11,"2013-02-22 23:00:00.000000"
S,5.82,"2013-02-22 23:00:00.000000"
TSLA130518C00037000,2.4,"2013-02-22 23:00:00.000000"
S130518P00005500,0.31,"2013-02-22 23:00:00.000000"
LCM13.CME,124.47,"2013-02-22 23:00:00.000000"
GOOG130518C00745000,69.5,"2013-02-22 23:00:00.000000"
NFLX130518C00175000,24.0,"2013-02-22 23:00:00.000000"
BWLD,81.21,"2013-02-22 23:00:00.000000"
BWLD130622C00085000,3.7,"2013-02-22 23:00:00.000000"
DRI,46.18,"2013-02-22 23:00:00.000000"
DRI130720P00044000,2.3,"2013-02-22 23:00:00.000000"
HGK13.CMX,3.5,"2013-02-22 23:00:00.000000"
